reciept_no,tran_date,fund_code,fund_subcode,customer_id,amount,fund_name,fund_subname,customer_type,gender,birthday,age,flag_member,YYYY
660003260,2023-1-4,10,650000011,P0004,1000,กองทุนบริจาคเพื่อการดำเนินงาน,กองทุนครบรอบ 36 ปีแห่งการสถาปนา รพธ.(เพื่ออุปกรณ์การแพทย์),บุคคลธรรมดา,หญิง,,,no,2023
660005467,2023-3-7,10,50,P0004,1000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่อซื้อโลงศพ / ผู้ป่วยยากไร้ / อนาถา,บุคคลธรรมดา,หญิง,,,no,2023
600006871,2017-8-8,10,10,P0005,11000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,หญิง,1972-04-11,51,yes,2017
620009775,2019-8-9,10,10,P0005,2700,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,หญิง,1972-04-11,51,yes,2019
630019209,2020-7-29,10,630000002,P0005,2500,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์ (COVID 19),บุคคลธรรมดา,หญิง,1972-04-11,51,yes,2020
650002505,2021-12-4,20,630000006,P0005,1000,กองทุนบริจาคเพื่อหน่วยงาน,กองทุนเพื่อผู้ป่วยข้อเข่าข้อสะโพกยากไร้,บุคคลธรรมดา,หญิง,1972-04-11,51,yes,2021
650002506,2021-12-4,20,630000006,P0005,3000,กองทุนบริจาคเพื่อหน่วยงาน,กองทุนเพื่อผู้ป่วยข้อเข่าข้อสะโพกยากไร้,บุคคลธรรมดา,หญิง,1972-04-11,51,yes,2021
620001974,2018-12-28,20,610000002,P0006,10000,กองทุนบริจาคเพื่อหน่วยงาน,กองทุน เพื่อพัฒนาและช่วยเหลือผู้ป่วยทุพโภชนาการ,บุคคลธรรมดา,หญิง,1973-06-13,50,yes,2018
630002270,2019-12-13,10,10,P0006,100000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,หญิง,1973-06-13,50,yes,2019
640001766,2020-12-29,10,10,P0006,100000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,หญิง,1973-06-13,50,yes,2020
640015806,2021-7-20,10,630000002,P0006,200000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์ (COVID 19),บุคคลธรรมดา,หญิง,1973-06-13,50,yes,2021
660003095,2022-12-29,20,650000007,P0006,50000,กองทุนบริจาคเพื่อหน่วยงาน,กองทุนเพื่อผู้ป่วยเด็ก,บุคคลธรรมดา,หญิง,1973-06-13,50,yes,2022
660003096,2022-12-29,20,650000002,P0006,50000,กองทุนบริจาคเพื่อหน่วยงาน,กองทุนผู้ป่วยมะเร็ง,บุคคลธรรมดา,หญิง,1973-06-13,50,yes,2022
620007116,2019-7-12,10,620000004,P0007,8145,กองทุนบริจาคเพื่อการดำเนินงาน,โครงการ Be Giver,บุคคลธรรมดา,หญิง,,,no,2019
620008540,2019-8-2,10,620000005,P0007,2693,กองทุนบริจาคเพื่อการดำเนินงาน,โครงการ TUH artist design product1,บุคคลธรรมดา,หญิง,,,no,2019
620008541,2019-8-2,10,620000005,P0007,600,กองทุนบริจาคเพื่อการดำเนินงาน,โครงการ TUH artist design product1,บุคคลธรรมดา,หญิง,,,no,2019
620008542,2019-8-2,10,620000005,P0007,998,กองทุนบริจาคเพื่อการดำเนินงาน,โครงการ TUH artist design product1,บุคคลธรรมดา,หญิง,,,no,2019
620008545,2019-8-2,10,620000005,P0007,1396,กองทุนบริจาคเพื่อการดำเนินงาน,โครงการ TUH artist design product1,บุคคลธรรมดา,หญิง,,,no,2019
570000166,2013-10-11,10,10,P0008,1000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,ชาย,1968-09-08,55,yes,2013
580000315,2014-11-10,10,10,P0008,1000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,ชาย,1968-09-08,55,yes,2014
580000316,2014-11-10,10,50,P0008,1000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่อซื้อโลงศพ / ผู้ป่วยยากไร้ / อนาถา,บุคคลธรรมดา,ชาย,1968-09-08,55,yes,2014
580000314,2014-11-10,20,80,P0008,1000,กองทุนบริจาคเพื่อหน่วยงาน,เพื่อซื้อโลหิต,บุคคลธรรมดา,ชาย,1968-09-08,55,yes,2014
610003826,2017-12-27,10,600000010,P0008,1000,กองทุนบริจาคเพื่อการดำเนินงาน,กองทุนโครงการจัดตั้งห้องผ่าตัดอัจฉริยะธรรมศาสตร์,บุคคลธรรมดา,ชาย,1968-09-08,55,yes,2017
610006851,2018-6-4,10,50,P0008,1000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่อซื้อโลงศพ / ผู้ป่วยยากไร้ / อนาถา,บุคคลธรรมดา,ชาย,1968-09-08,55,yes,2018
620014481,2019-9-9,10,10,P0008,1000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,ชาย,1968-09-08,55,yes,2019
630002368,2019-12-14,10,10,P0008,1000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,ชาย,1968-09-08,55,yes,2019
620002896,2019-3-1,10,50,P0008,1000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่อซื้อโลงศพ / ผู้ป่วยยากไร้ / อนาถา,บุคคลธรรมดา,ชาย,1968-09-08,55,yes,2019
620003519,2019-3-30,20,610000008,P0008,1000,กองทุนบริจาคเพื่อหน่วยงาน,กองทุนศูนย์ผ่าตัดปลูกถ่ายตับและหัวใจธรรมศาสตร์,บุคคลธรรมดา,ชาย,1968-09-08,55,yes,2019
640001178,2020-12-7,10,50,P0008,1000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่อซื้อโลงศพ / ผู้ป่วยยากไร้ / อนาถา,บุคคลธรรมดา,ชาย,1968-09-08,55,yes,2020
630017414,2020-5-20,10,630000002,P0008,5000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์ (COVID 19),บุคคลธรรมดา,ชาย,1968-09-08,55,yes,2020
630017932,2020-5-30,10,50,P0008,1000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่อซื้อโลงศพ / ผู้ป่วยยากไร้ / อนาถา,บุคคลธรรมดา,ชาย,1968-09-08,55,yes,2020
630004844,2020-3-7,20,600000012,P0008,1000,กองทุนบริจาคเพื่อหน่วยงาน,กองทุนเพื่อการดูแลผู้ป่วยโรคเรื้อรังต่อเนื่อง,บุคคลธรรมดา,ชาย,1968-09-08,55,yes,2020
630019671,2020-8-22,10,10,P0008,1000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,ชาย,1968-09-08,55,yes,2020
640014029,2021-7-14,10,630000002,P0008,2000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์ (COVID 19),บุคคลธรรมดา,ชาย,1968-09-08,55,yes,2021
640003254,2021-2-27,10,50,P0008,1000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่อซื้อโลงศพ / ผู้ป่วยยากไร้ / อนาถา,บุคคลธรรมดา,ชาย,1968-09-08,55,yes,2021
640022742,2021-9-30,10,630000002,P0008,2000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์ (COVID 19),บุคคลธรรมดา,ชาย,1968-09-08,55,yes,2021
650003242,2021-12-23,10,50,P0008,1000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่อซื้อโลงศพ / ผู้ป่วยยากไร้ / อนาถา,บุคคลธรรมดา,ชาย,1968-09-08,55,yes,2021
640002294,2021-1-27,10,10,P0008,1000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,ชาย,1968-09-08,55,yes,2021
640011610,2021-6-14,10,630000002,P0008,2000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์ (COVID 19),บุคคลธรรมดา,ชาย,1968-09-08,55,yes,2021
640005391,2021-4-28,10,630000002,P0008,5000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์ (COVID 19),บุคคลธรรมดา,ชาย,1968-09-08,55,yes,2021
650008982,2022-7-2,10,10,P0008,20000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,ชาย,1968-09-08,55,yes,2022
650005321,2022-2-19,10,50,P0008,2000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่อซื้อโลงศพ / ผู้ป่วยยากไร้ / อนาถา,บุคคลธรรมดา,ชาย,1968-09-08,55,yes,2022
650008664,2022-6-22,10,10,P0008,2000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,ชาย,1968-09-08,55,yes,2022
650007047,2022-4-25,10,50,P0008,2000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่อซื้อโลงศพ / ผู้ป่วยยากไร้ / อนาถา,บุคคลธรรมดา,ชาย,1968-09-08,55,yes,2022
660004530,2023-2-8,10,650000011,P0008,1000,กองทุนบริจาคเพื่อการดำเนินงาน,กองทุนครบรอบ 36 ปีแห่งการสถาปนา รพธ.(เพื่ออุปกรณ์การแพทย์),บุคคลธรรมดา,ชาย,1968-09-08,55,yes,2023
660007188,2023-5-1,10,50,P0008,1000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่อซื้อโลงศพ / ผู้ป่วยยากไร้ / อนาถา,บุคคลธรรมดา,ชาย,1968-09-08,55,yes,2023
660008888,2023-6-28,10,50,P0008,2000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่อซื้อโลงศพ / ผู้ป่วยยากไร้ / อนาถา,บุคคลธรรมดา,ชาย,1968-09-08,55,yes,2023
620001432,2018-12-12,10,10,P0009,3000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,หญิง,1956-10-10,67,yes,2018
630004966,2020-3-16,10,50,P0009,3000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่อซื้อโลงศพ / ผู้ป่วยยากไร้ / อนาถา,บุคคลธรรมดา,หญิง,1956-10-10,67,yes,2020
650002688,2021-12-9,10,10,P0009,2000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,หญิง,1956-10-10,67,yes,2021
660008177,2023-6-6,10,10,P0009,1000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,หญิง,1956-10-10,67,yes,2023
660008178,2023-6-6,10,50,P0009,1000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่อซื้อโลงศพ / ผู้ป่วยยากไร้ / อนาถา,บุคคลธรรมดา,หญิง,1956-10-10,67,yes,2023
580001226,2015-1-22,10,50,P0010,2000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่อซื้อโลงศพ / ผู้ป่วยยากไร้ / อนาถา,บุคคลธรรมดา,หญิง,1980-08-10,43,yes,2015
610003746,2017-12-26,20,570000002,P0010,2500,กองทุนบริจาคเพื่อหน่วยงาน,กองทุน โครงการจัดตั้งศูนย์ไตเทียมเฉลิมพระเกียรติ 60 พรรษา สมเด็จพระเทพฯ,บุคคลธรรมดา,หญิง,1980-08-10,43,yes,2017
620001050,2018-11-28,20,560000292,P0010,25000,กองทุนบริจาคเพื่อหน่วยงาน,กองทุน เพื่อพัฒนาศูนย์ตรวจวินิจฉัย-รักษาทารกในครรภ์และหน่วยมะเร็งนรีเวช,บุคคลธรรมดา,หญิง,1980-08-10,43,yes,2018
620009994,2019-8-10,20,610000001,P0010,10000,กองทุนบริจาคเพื่อหน่วยงาน,กองทุนศูนย์โรคระบบการหายใจ,บุคคลธรรมดา,หญิง,1980-08-10,43,yes,2019
630019410,2020-8-10,10,50,P0010,5000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่อซื้อโลงศพ / ผู้ป่วยยากไร้ / อนาถา,บุคคลธรรมดา,หญิง,1980-08-10,43,yes,2020
580003018,2015-8-20,10,60,P0011,30000000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่อดำเนินการของ รพ.ธ.,บุคคลธรรมดา,หญิง,1946-01-01,78,yes,2015
600004897,2017-6-27,10,60,P0011,6000000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่อดำเนินการของ รพ.ธ.,บุคคลธรรมดา,หญิง,1946-01-01,78,yes,2017
630019246,2020-7-31,10,630000004,P0011,3000000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่อปรับปรุงหอผู้ป่วยไอซียูความดันลบ,บุคคลธรรมดา,หญิง,1946-01-01,78,yes,2020
630020637,2020-9-21,10,10,P0011,7000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,หญิง,1946-01-01,78,yes,2020
630020700,2020-9-23,10,560000002,P0011,10000,กองทุนบริจาคเพื่อการดำเนินงาน,กองทุน โครงการถวายภัตตาหารเพล,บุคคลธรรมดา,หญิง,1946-01-01,78,yes,2020
650003942,2021-12-30,10,60,P0011,78806,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่อดำเนินการของ รพ.ธ.,บุคคลธรรมดา,หญิง,1946-01-01,78,yes,2021
650003948,2021-12-30,10,60,P0011,17000000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่อดำเนินการของ รพ.ธ.,บุคคลธรรมดา,หญิง,1946-01-01,78,yes,2021
650009701,2022-7-25,10,560000002,P0011,10000,กองทุนบริจาคเพื่อการดำเนินงาน,กองทุน โครงการถวายภัตตาหารเพล,บุคคลธรรมดา,หญิง,1946-01-01,78,yes,2022
650004717,2022-1-28,10,60,P0011,550000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่อดำเนินการของ รพ.ธ.,บุคคลธรรมดา,หญิง,1946-01-01,78,yes,2022
590004473,2016-7-22,10,10,P0012,50000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,หญิง,,,no,2016
620007041,2019-7-10,10,10,P0012,50000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,หญิง,,,no,2019
630018946,2020-7-9,10,10,P0012,50000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,หญิง,,,no,2020
640014307,2021-7-14,10,630000002,P0012,50000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์ (COVID 19),บุคคลธรรมดา,หญิง,,,no,2021
650009496,2022-7-19,10,10,P0012,50000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,หญิง,,,no,2022
660009363,2023-7-17,10,10,P0012,50000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,หญิง,,,no,2023
650009271,2022-7-12,10,10,P0013,1000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,หญิง,,,no,2022
660000280,2022-10-10,10,10,P0013,1000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,หญิง,,,no,2022
660001572,2022-11-21,10,10,P0013,1000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,หญิง,,,no,2022
650008725,2022-6-23,10,10,P0013,500,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,หญิง,,,no,2022
650010664,2022-8-30,10,10,P0013,1000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,หญิง,,,no,2022
660009306,2023-7-13,10,10,P0013,1500,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,หญิง,,,no,2023
660005012,2023-2-20,10,10,P0013,1000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,หญิง,,,no,2023
660007611,2023-5-16,10,10,P0013,1500,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,หญิง,,,no,2023
660008311,2023-6-8,10,10,P0013,1500,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,หญิง,,,no,2023
660006194,2023-3-28,10,10,P0013,1000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,หญิง,,,no,2023
660006711,2023-4-19,10,10,P0013,1500,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,หญิง,,,no,2023
630000350,2019-10-15,10,10,P0014,1500,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,หญิง,1985-05-30,38,yes,2019
620004789,2019-5-30,10,10,P0014,500,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,หญิง,1985-05-30,38,yes,2019
640000182,2020-10-12,10,10,P0014,6000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,หญิง,1985-05-30,38,yes,2020
630020127,2020-8-26,10,10,P0014,1000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,หญิง,1985-05-30,38,yes,2020
660001859,2022-11-30,10,650000011,P0014,5000,กองทุนบริจาคเพื่อการดำเนินงาน,กองทุนครบรอบ 36 ปีแห่งการสถาปนา รพธ.(เพื่ออุปกรณ์การแพทย์),บุคคลธรรมดา,หญิง,1985-05-30,38,yes,2022
570001950,2014-3-11,20,560000205,P0015,4740,กองทุนบริจาคเพื่อหน่วยงาน,กองทุนหมุนเวียน เพื่อผู้ป่วยเอดส์,บุคคลธรรมดา,หญิง,1967-04-05,56,yes,2014
580000556,2014-12-4,20,560000008,P0015,7000,กองทุนบริจาคเพื่อหน่วยงาน,กองทุนหมุนเวียนเพื่อผู้ป่วยเอดส์,บุคคลธรรมดา,หญิง,1967-04-05,56,yes,2014
580000557,2014-12-4,20,560000008,P0015,2720,กองทุนบริจาคเพื่อหน่วยงาน,กองทุนหมุนเวียนเพื่อผู้ป่วยเอดส์,บุคคลธรรมดา,หญิง,1967-04-05,56,yes,2014
580001732,2015-3-13,20,560000008,P0015,1050,กองทุนบริจาคเพื่อหน่วยงาน,กองทุนหมุนเวียนเพื่อผู้ป่วยเอดส์,บุคคลธรรมดา,หญิง,1967-04-05,56,yes,2015
580001781,2015-3-20,20,560000008,P0015,1740,กองทุนบริจาคเพื่อหน่วยงาน,กองทุนหมุนเวียนเพื่อผู้ป่วยเอดส์,บุคคลธรรมดา,หญิง,1967-04-05,56,yes,2015
580001820,2015-3-26,20,560000008,P0015,900,กองทุนบริจาคเพื่อหน่วยงาน,กองทุนหมุนเวียนเพื่อผู้ป่วยเอดส์,บุคคลธรรมดา,หญิง,1967-04-05,56,yes,2015
580001867,2015-4-3,20,560000008,P0015,1010,กองทุนบริจาคเพื่อหน่วยงาน,กองทุนหมุนเวียนเพื่อผู้ป่วยเอดส์,บุคคลธรรมดา,หญิง,1967-04-05,56,yes,2015
